campaign_id,channel,total_cost,treatment_revenue,incremental_revenue,roi,roi_pct,treatment_conv_rate,control_conv_rate,conversion_lift,n_treatment,n_control
CAMP_001,Paid Social,30665.0,126078.73000000001,21029.907655758943,-0.314204870185588,-31.420487018558802,0.06880808739605414,0.055093362913662416,0.013714724482391721,12266,5409
CAMP_002,SMS,2398.0499999999993,201178.0,48396.7023446369,19.181690266940603,1918.1690266940602,0.0855695252392569,0.06491049337796537,0.020659031861291532,15987,6871
CAMP_003,Search,46209.0,235856.59999999998,67787.16270196257,0.46696883078972873,46.696883078972874,0.10114912679348179,0.07409097824433288,0.02705814854914891,15403,6573
CAMP_004,Email,1462.8000000000002,186925.25000000003,64653.35540211474,43.198356167702165,4319.835616770217,0.08497402242275089,0.054469721243191285,0.0305043011795596,14628,6242
CAMP_005,Push,541.0999999999999,107231.32,42257.28739849625,77.0951532036523,7709.51532036523,0.06532988357050452,0.04103114930182599,0.024298734268678533,10822,4655
CAMP_006,Email,2105.5,237936.17,50939.841099429585,23.193702730671852,2319.3702730671853,0.07584896699121349,0.05849457555083324,0.01735439144038025,21055,8941
CAMP_007,SMS,1748.2499999999995,148796.96000000002,41452.864916897524,22.711062443527833,2271.1062443527835,0.08897468897468898,0.06569054214483577,0.023284146829853206,11655,5054
CAMP_008,SMS,2925.8999999999996,250853.57,62168.87591970805,20.247778775661526,2024.7778775661527,0.08597354660104584,0.06301703163017032,0.022956514970875516,19506,8220
CAMP_009,Email,1438.4,167813.32,44969.52389900928,30.26357334469499,3026.357334469499,0.078559510567297,0.05560882070949185,0.02295068985780515,14384,6258
CAMP_010,Paid Social,34132.5,150972.91999999998,42305.12433263815,0.23943819915441739,23.94381991544174,0.07280451182890207,0.05179005908932916,0.021014452739572913,13653,5754
CAMP_011,Paid Social,27887.5,116681.66,35714.7194236248,0.28067124782159764,28.067124782159762,0.07019273868220528,0.05062458908612755,0.019568149596077736,11155,4563
CAMP_012,Paid Social,28432.5,129630.31,28388.590037799222,-0.0015443581183778407,-0.15443581183778407,0.07456256045018904,0.057748845023099536,0.016813715427089503,11373,4762
